r4;piO;piP;piR;piF;cV;cS;cT
000,790000000;000,476626105;000,523373895;000,000000000;000,000000000;005,233738954;008,055000000;013,288738954;
000,780000000;000,495232166;000,504767834;000,000000000;000,000000000;005,047678336;008,010000000;013,057678336;
000,770000000;000,507679030;000,492320970;000,000000000;000,000000000;004,923209697;007,965000000;012,888209697;
000,760000000;000,490813772;000,509186228;000,000000000;000,000000000;005,091862276;007,920000000;013,011862276;
000,750000000;000,477849587;000,522150413;000,000000000;000,000000000;005,221504132;007,875000000;013,096504132;
000,740000000;000,479290284;000,520709716;000,000000000;000,000000000;005,207097163;007,830000000;013,037097163;
000,730000000;000,485858297;000,514141703;000,000000000;000,000000000;005,141417031;007,785000000;012,926417031;
000,720000000;000,474588109;000,525411891;000,000000000;000,000000000;005,254118910;007,740000000;012,994118910;
000,710000000;000,467915016;000,532084984;000,000000000;000,000000000;005,320849837;007,695000000;013,015849837;
000,700000000;000,471480702;000,528519298;000,000000000;000,000000000;005,285192982;007,650000000;012,935192982;
000,690000000;000,481189210;000,518810790;000,000000000;000,000000000;005,188107898;007,605000000;012,793107898;
000,680000000;000,485127135;000,514872865;000,000000000;000,000000000;005,148728647;007,560000000;012,708728647;
000,670000000;000,488729697;000,511270303;000,000000000;000,000000000;005,112703032;007,515000000;012,627703032;
000,660000000;000,494562131;000,505437869;000,000000000;000,000000000;005,054378691;007,470000000;012,524378691;
000,650000000;000,488770207;000,511229793;000,000000000;000,000000000;005,112297925;007,425000000;012,537297925;
000,640000000;000,483206068;000,516793932;000,000000000;000,000000000;005,167939319;007,380000000;012,547939319;
000,630000000;000,477884859;000,522115141;000,000000000;000,000000000;005,221151409;007,335000000;012,556151409;
000,620000000;000,473936035;000,526063965;000,000000000;000,000000000;005,260639650;007,290000000;012,550639650;
000,610000000;000,471586360;000,528413640;000,000000000;000,000000000;005,284136398;007,245000000;012,529136398;
000,600000000;000,463357303;000,536642697;000,000000000;000,000000000;005,366426974;007,200000000;012,566426974;
000,590000000;000,455406176;000,544593824;000,000000000;000,000000000;005,445938236;007,155000000;012,600938236;
000,580000000;000,451646595;000,548353405;000,000000000;000,000000000;005,483534049;007,110000000;012,593534049;
